source_text,target_text,source_lang,target_lang,term_keyword,detected_lang
(Italian sentence): The high energy efficiency window of Roverplastik must be installed with the appropriate edge insulation to ensure good thermal performance.,La ventana de Roverplastik de alta eficiencia energética debe instalarse con aislamiento apego adecuado para garantizar buena rendimiento termal.,ita_Latn,spa_Latn,isolamento a cappotto,en
La finestra de velocità ridotta deve essere installata con un isolamento a cappotto per garantire il miglior risultato termico e acustico (Reduced frame windows should be installed with a capped insulation to ensure the best thermal and acoustic results).,Reduced frame windows should be installed with a capped insulation for optimal thermal and acoustic performance.,ita_Latn,eng_Latn,isolamento a cappotto,en
La finestra de velocità ridotta deve essere installata con un isolamento a cappotto per garantire il miglior risultato termico e acustico (Reduced frame windows should be installed with a capped insulation to ensure the best thermal and acoustic results).,Les fenêtres à cadre réduit doivent être installées avec un isolation intégrée pour garantir le meilleur résultat thermique et acoustique (Reduced frame windows should be installed with integrated insulation to ensure the best thermal and acoustic performance).,ita_Latn,fra_Latn,isolamento a cappotto,en
La finestra de velocità ridotta deve essere installata con un isolamento a cappotto per garantire il miglior risultato termico e acustico (Reduced frame windows should be installed with a capped insulation to ensure the best thermal and acoustic results).,Las ventanas de perfil reducido deben instalarse con aislamiento capotado para obtener el mejor rendimiento termico y acustico (Reduced frame windows should be installed with cap insulation for the best thermal and acoustic performance).,ita_Latn,spa_Latn,isolamento a cappotto,en
[,"Our aluminum window model is designed to provide excellent thermal insulation at the cap, ensuring a low heat reflection coefficient (U-value) and high thermal efficiency.",ita_Latn,eng_Latn,isolamento a cappotto,unknown
[,"La fenêtre en aluminium de notre marque est conçue pour offrir une excellente isolation thermique à l'intérieur des parois, assurant un faible coefficient de réflexion de chaleur (U-value) et une haute efficacité thermique.",ita_Latn,fra_Latn,isolamento a cappotto,unknown
[,"Nuestra ventana de aluminio del modelo está diseñada para proporcionar una excelente aislación termal a la capa interna, garantizando un bajo coeficiente de reflexión de calor (U-value) y una alta eficiencia termal.",ita_Latn,spa_Latn,isolamento a cappotto,unknown
"The installed window must have a high thermal efficiency, with a suitable edge insulation (isolamento a cappotto) to ensure maximum thermal insulation.","The installed window should have high thermal efficiency, with appropriate insulation at the edge to ensure maximum thermal insulation.",ita_Latn,eng_Latn,isolamento a cappotto,en
"The installed window must have a high thermal efficiency, with a suitable edge insulation (isolamento a cappotto) to ensure maximum thermal insulation.","La fenêtre installée doit avoir une efficacité thermique élevée, avec un isolation au manteau adaptée pour garantir la perte thermique minimale.",ita_Latn,fra_Latn,isolamento a cappotto,en
"The installed window must have a high thermal efficiency, with a suitable edge insulation (isolamento a cappotto) to ensure maximum thermal insulation.","La ventana instalada debe tener una eficiencia térmica alta, con una aislamiento en capas suficiente para garantizar la pérdida térmica mínima.",ita_Latn,spa_Latn,isolamento a cappotto,en
The installed window must ensure a high level of insulation at the envelope to achieve a low U-value and high energy efficiency.,La finestra,ita_Latn,eng_Latn,isolamento a cappotto,en
The installed window must ensure a high level of insulation at the envelope to achieve a low U-value and high energy efficiency.,La fenêtre à vue à installer doit garantir un niveau élevé d'isolation au revêtement pour obtenir un faible coefficient de diffusion de chaleur (U) et un taux d'efficacité énergétique très élevé.,ita_Latn,fra_Latn,isolamento a cappotto,en
The installed window must ensure a high level of insulation at the envelope to achieve a low U-value and high energy efficiency.,La ventana de vista instalada debe garantizar un nivel alto de aislamiento al recubrimiento para obtener un bajo valor de U y un elevado grado de eficiencia energética.,ita_Latn,spa_Latn,isolamento a cappotto,en
[Italian context] The prefabricated window is installed with great care to ensure correct insulation at the edge in order to achieve maximum thermal efficiency.,[English context] The prefabricated window is installed with great care to ensure correct edge insulation for maximum thermal efficiency.,ita_Latn,eng_Latn,isolamento a cappotto,en
[Italian context] The prefabricated window is installed with great care to ensure correct insulation at the edge in order to achieve maximum thermal efficiency.,[French context,ita_Latn,fra_Latn,isolamento a cappotto,en
[Italian context] The prefabricated window is installed with great care to ensure correct insulation at the edge in order to achieve maximum thermal efficiency.,"La ventana prefabricada debe instalarse con una atención especial para garantizar una aislación a la bordes máxima, lo que asegura la mayor eficiencia termal.",ita_Latn,spa_Latn,isolamento a cappotto,en
"[Italian context: During the installation of prefabricated windows, it is necessary to use the appropriate insulated cap (isolamento a cappotto) to ensure maximum thermal and acoustic efficiency.]","[English context: During the installation of prefabricated windows, it is necessary to use the appropriate insulated cap (insulation at the cap) to ensure maximum thermal and acoustic efficiency.]",ita_Latn,eng_Latn,isolamento a cappotto,en
"[Italian context: During the installation of prefabricated windows, it is necessary to use the appropriate insulated cap (isolamento a cappotto) to ensure maximum thermal and acoustic efficiency.]",La fenêtre préfabriquée doit être installée avec un isolation de couverture adaptée pour assurer la plus grande efficacité thermique et acoustique.,ita_Latn,fra_Latn,isolamento a cappotto,en
"[Italian context: During the installation of prefabricated windows, it is necessary to use the appropriate insulated cap (isolamento a cappotto) to ensure maximum thermal and acoustic efficiency.]",La ventana prefabricada debe instalarse con aislamiento de capa adecuado para garantizar la máxima eficiencia termal y acústica.,ita_Latn,spa_Latn,isolamento a cappotto,en
"[Italian context: During the installation of Roverplastik windows, the importance of proper joint sealing is emphasized to maintain energy efficiency and structural integrity.]","[English context: During the installation of Roverplastik windows, the importance of proper joint sealing is emphasized to maintain energy efficiency and structural integrity.]",ita_Latn,eng_Latn,sigillatura del giunto,en
"[Italian context: During the installation of Roverplastik windows, the importance of proper joint sealing is emphasized to maintain energy efficiency and structural integrity.]","[French context: Pendant l'installation de fenêtres Roverplastik, la importance de la soudure du joint est mis en évidence pour maintenir l'efficacité é",ita_Latn,fra_Latn,sigillatura del giunto,en
"[Italian context: During the installation of Roverplastik windows, the importance of proper joint sealing is emphasized to maintain energy efficiency and structural integrity.]",La soldadura de la unión debe realizarse con cuidado para garantizar un rendimiento termal óptimo de la ventana.,ita_Latn,spa_Latn,sigillatura del giunto,en
[Italian Sentence],[English Technical Translation],ita_Latn,eng_Latn,coibentazione,en
[Italian Sentence],L'installation des fenêtres doit être effectuée conformément aux spécifications techniques pour assurer une résistance maximale au déplacement et une efficacité thermique optimale.,ita_Latn,fra_Latn,coibentazione,en
[Italian Sentence],La instalación de ventanas debe realizarse de acuerdo con las especificaciones técnicas para garantizar una resistencia máxima al desplazamiento y una eficiencia termal óptima.,ita_Latn,spa_Latn,coibentazione,en
"[Italian context: During the installation process, the coibentazione of the windows is crucial for ensuring their proper alignment and achieving maximum energy efficiency.]","[English context: During the installation process, the alignment of the windows is crucial for ensuring their proper alignment and achieving maximum energy efficiency.]",ita_Latn,eng_Latn,coibentazione,en
"[Italian context: During the installation process, the coibentazione of the windows is crucial for ensuring their proper alignment and achieving maximum energy efficiency.]","[French context: Pendant le processus d'installation, l'alignement des fenêtres est crucial pour assurer une bonne alignment et atteindre",ita_Latn,fra_Latn,coibentazione,en
"[Italian context: During the installation process, the coibentazione of the windows is crucial for ensuring their proper alignment and achieving maximum energy efficiency.]",La alineación de las ventanas debe realizarse con precisión para garantizar una correcta posición y la mayor eficiencia termal.,ita_Latn,spa_Latn,coibentazione,en
The installation of thermally efficient windows must include the use of solar tunnels to maximize natural light intake and reduce electrical energy consumption.,The installation of thermally efficient windows should include the use of solar tunnels to maximize natural light intake and reduce electrical energy consumption.,ita_Latn,eng_Latn,tunnel solari,en
The installation of thermally efficient windows must include the use of solar tunnels to maximize natural light intake and reduce electrical energy consumption.,L'installation de fenêtres efficaces thermiquement doit inclure l'utilisation de tunnels solaires pour maximiser l'intake de lumière naturelle et réduire la consommation d'énergie électrique.,ita_Latn,fra_Latn,tunnel solari,en
The installation of thermally efficient windows must include the use of solar tunnels to maximize natural light intake and reduce electrical energy consumption.,La instalación de ventanas termalmente eficientes debe incluir el uso de túneles solares para maximizar la entrada de luz natural y reducir el consumo de energía eléctrica.,ita_Latn,spa_Latn,tunnel solari,en
The installation of thermal window systems with solar tunnels must be performed in accordance with local regulations to ensure maximum thermal efficiency and acoustic insulation.,The installation of thermal window systems with solar tunnels must be carried out in accordance with local regulations to ensure maximum thermal efficiency and acoustic insulation.,ita_Latn,eng_Latn,tunnel solari,en
The installation of thermal window systems with solar tunnels must be performed in accordance with local regulations to ensure maximum thermal efficiency and acoustic insulation.,L'installation de fenêtres systèmes thermiques à tunnel solaire doit être effectuée en respect des règlements locaux pour assurer une efficacité thermique maximale et une isolation acoustique optimale.,ita_Latn,fra_Latn,tunnel solari,en
The installation of thermal window systems with solar tunnels must be performed in accordance with local regulations to ensure maximum thermal efficiency and acoustic insulation.,La instalación de sistemas de ventanas termotécnicas con túneles solares debe realizarse en cumplimiento de las regulaciones locales para garantizar una eficiencia térmica máxima y una aislación acústica óptima.,ita_Latn,spa_Latn,tunnel solari,en
(Italian Sentence),(English Technical Translation),ita_Latn,eng_Latn,tunnel solari,en
(Italian Sentence),"L'installation de fenêtres à vent thermiquement efficaces doit être effectuée en respectant les règles de construction, y compris la connexion de tubes solaires pour le chauffage intérieur.",ita_Latn,fra_Latn,tunnel solari,en
(Italian Sentence),"La instalación de ventanas a viento termoeficientes debe hacerse de acuerdo con las normas de construcción, incluyendo la conexión de tuberías solares para el calentamiento doméstico.",ita_Latn,spa_Latn,tunnel solari,en
[Italian Sentence],"Roverplastik's window inframe restoration solutions offer an innovative technology, ensuring high thermal and acoustic performance.",ita_Latn,eng_Latn,soluzioni per foro finestra,en
[Italian Sentence],"Les solutions pour trous de fenêtre de Roverplastik apportent une technologie innovante pour la rénovation de fenêtres en cadre, assurant une performance thermique et acoustique élevée.",ita_Latn,fra_Latn,soluzioni per foro finestra,en
[Italian Sentence],"Las soluciones de Roverplastik para huecos de ventana ofrecen una tecnología innovadora, garantizando un alto rendimiento termico y acústico.",ita_Latn,spa_Latn,soluzioni per foro finestra,en
(Italian),(English),ita_Latn,eng_Latn,soluzioni per foro finestra,id
(Italian),Nos solutions pour les fenêtres à trou creus sont caractérisées par une économie thermique importante et assurent une installation exacte pour des fenêtres ouvertes dans des constructions à faible énergie.,ita_Latn,fra_Latn,soluzioni per foro finestra,id
(Italian),Las soluciones para vanos de ventana perforados de Roverplastik ofrecen un importante ahorro termico y garantizan una instalación precisa para las ventanas abiertas en construcciones de baja energía.,ita_Latn,spa_Latn,soluzioni per foro finestra,id
"Le soluzioni per foro finestra di Roverplastik offrono un'ottima compatibilità con le finestre a bassa emissione di calore, garantendo un'installazione sicura e efficiente. (Roverplastik's hole solutions for windows provide excellent compatibility with low-emission windows, ensuring a safe and efficient installation.)","Roverplastik's hole solutions for windows offer excellent compatibility with low-emission windows, ensuring safe and efficient installation.",ita_Latn,eng_Latn,soluzioni per foro finestra,en
"Le soluzioni per foro finestra di Roverplastik offrono un'ottima compatibilità con le finestre a bassa emissione di calore, garantendo un'installazione sicura e efficiente. (Roverplastik's hole solutions for windows provide excellent compatibility with low-emission windows, ensuring a safe and efficient installation.)","Les solutions de Roverplastik pour les trous de fenêtre offrent une excellente compatibilité avec les fenêtres à faible émission de chaleur, assurant une installation sécuritaire et efficace.",ita_Latn,fra_Latn,soluzioni per foro finestra,en
"Le soluzioni per foro finestra di Roverplastik offrono un'ottima compatibilità con le finestre a bassa emissione di calore, garantendo un'installazione sicura e efficiente. (Roverplastik's hole solutions for windows provide excellent compatibility with low-emission windows, ensuring a safe and efficient installation.)","Las soluciones de Roverplastik para los agujeros de ventana ofrecen una excelente compatibilidad con las ventanas de baja emisión de calor, asegurando una instalación segura y eficiente.",ita_Latn,spa_Latn,soluzioni per foro finestra,en
"""Le sigilli Deventer devono essere installati correttamente sulla finestreria per assicurare la massima efficacia termica e l'isolamento acustico."" (Deventer seals must be installed correctly on the window frame to ensure maximum thermal efficiency and acoustic insulation.)","""The Deventer seals must be installed correctly on the window frame to achieve maximum thermal efficiency and acoustic insulation.""",ita_Latn,eng_Latn,deventer seals,en
"""Le sigilli Deventer devono essere installati correttamente sulla finestreria per assicurare la massima efficacia termica e l'isolamento acustico."" (Deventer seals must be installed correctly on the window frame to ensure maximum thermal efficiency and acoustic insulation.)","""Les sceaux Deventer doivent être installés correctement sur le cadre de la fenêtre pour garantir une efficacité thermique maximale et une isolation acoustique optimale."" (Les sceaux Deventer doivent être installés correctement sur le cadre de la fenêtre pour garantir une efficacité thermique maximale et une isolation acoustique optimale.)",ita_Latn,fra_Latn,deventer seals,en
"""Le sigilli Deventer devono essere installati correttamente sulla finestreria per assicurare la massima efficacia termica e l'isolamento acustico."" (Deventer seals must be installed correctly on the window frame to ensure maximum thermal efficiency and acoustic insulation.)","""Los sellados Deventer deben instalarse correctamente en el marco de la ventana para lograr una eficiencia térmica máxima y una aislamiento acústico óptimo.""",ita_Latn,spa_Latn,deventer seals,en
"(Technical sentence in Italian that includes ""monoblocco coibentato presystem"")",The installation of thermal windows requires the use of a pre-assembled and coordinated monobloc system to ensure thermal and structural stability during the assembly process.,ita_Latn,eng_Latn,monoblocco coibentato presystem,en
"(Technical sentence in Italian that includes ""monoblocco coibentato presystem"")",L'installation de fenêtres thermiques exige l'utilisation d'un monobloc coibent coordonné avant l'assemblage pour assurer la stabilité thermique et structurelle.,ita_Latn,fra_Latn,monoblocco coibentato presystem,en
"(Technical sentence in Italian that includes ""monoblocco coibentato presystem"")",La instalación de ventanas termales requiere el uso de un monobloco coordinado y preensamblado para garantizar la estabilidad termal y estructural durante el montaje.,ita_Latn,spa_Latn,monoblocco coibentato presystem,en
[Italian Sentence],[English,ita_Latn,eng_Latn,monoblocco coibentato presystem,en
[Italian Sentence],"La pose de la fenêtre du monobloc coibentato pré-system de Roverplastik doit être effectuée avec une grande précision, en veillant à ce que tous les éléments du système se rejoignent correctement pendant l'installation.",ita_Latn,fra_Latn,monoblocco coibentato presystem,en
[Italian Sentence],"La instalación del monobloco cohibentado presystem de ventanas de Roverplastik debe realizarse con gran precisión, asegurándose de que todos los elementos del sistema se unen correctamente durante la instalación.",ita_Latn,spa_Latn,monoblocco coibentato presystem,en
